Wavelengths (nm),Intensities (a.u)
337.0,1838.0
338.0,1821.5
339.0,1824.6666666666667
340.0,1826.0
341.0,1821.5
342.0,1820.5
343.0,1820.6666666666667
344.0,1818.5
345.0,1817.0
346.0,1816.0
347.0,1818.0
348.0,1815.6666666666667
349.0,1817.5
350.0,1818.5
351.0,1822.5
352.0,1823.0
353.0,1818.0
354.0,1815.5
355.0,1822.5
356.0,1819.0
357.0,1819.5
358.0,1818.0
359.0,1823.0
360.0,1821.5
361.0,1824.0
362.0,1823.0
363.0,1819.6666666666667
364.0,1820.5
365.0,1816.5
366.0,1824.5
367.0,1824.5
368.0,1818.3333333333333
369.0,1818.5
370.0,1825.5
371.0,1817.5
372.0,1825.5
373.0,1819.0
374.0,1822.6666666666667
375.0,1826.5
376.0,1823.5
377.0,1820.5
378.0,1827.5
379.0,1825.6666666666667
380.0,1822.5
381.0,1824.0
382.0,1823.5
383.0,1823.5
384.0,1823.0
385.0,1821.0
386.0,1830.5
387.0,1826.5
388.0,1830.0
389.0,1822.3333333333333
390.0,1827.0
391.0,1831.0
392.0,1828.5
393.0,1828.0
394.0,1828.0
395.0,1829.6666666666667
396.0,1824.0
397.0,1825.0
398.0,1831.5
399.0,1829.0
400.0,1826.6666666666667
401.0,1828.0
402.0,1829.0
403.0,1830.5
404.0,1831.5
405.0,1828.5
406.0,1834.3333333333333
407.0,1833.5
408.0,1834.0
409.0,1830.0
410.0,1840.5
411.0,1834.5
412.0,1832.3333333333333
413.0,1836.0
414.0,1829.0
415.0,1831.5
416.0,1832.0
417.0,1837.0
418.0,1833.5
419.0,1838.5
420.0,1834.5
421.0,1833.0
422.0,1832.0
423.0,1837.3333333333333
424.0,1838.0
425.0,1830.5
426.0,1839.5
427.0,1836.0
428.0,1836.5
429.0,1838.6666666666667
430.0,1830.5
431.0,1838.5
432.0,1830.5
433.0,1831.5
434.0,1833.0
435.0,1832.6666666666667
436.0,1833.5
437.0,1839.0
438.0,1839.5
439.0,1841.5
440.0,1835.0
441.0,1834.0
442.0,1836.5
443.0,1839.0
444.0,1835.5
445.0,1840.5
446.0,1839.0
447.0,1840.0
448.0,1842.0
449.0,1832.0
450.0,1834.0
451.0,1836.5
452.0,1839.0
453.0,1837.0
454.0,1836.5
455.0,1841.0
456.0,1840.5
457.0,1839.5
458.0,1838.5
459.0,1842.0
460.0,1843.6666666666667
461.0,1841.0
462.0,1840.0
463.0,1836.5
464.0,1842.5
465.0,1844.5
466.0,1838.6666666666667
467.0,1843.5
468.0,1843.0
469.0,1841.0
470.0,1838.5
471.0,1842.0
472.0,1842.0
473.0,1843.3333333333333
474.0,1839.5
475.0,1842.0
476.0,1838.0
477.0,1841.0
478.0,1843.0
479.0,1843.0
480.0,1843.0
481.0,1839.5
482.0,1840.0
483.0,1838.5
484.0,1842.0
485.0,1838.0
486.0,1843.0
487.0,1842.6666666666667
488.0,1843.0
489.0,1842.5
490.0,1839.5
491.0,1838.0
492.0,1837.5
493.0,1843.0
494.0,1837.6666666666667
495.0,1840.5
496.0,1842.0
497.0,1837.0
498.0,1834.5
499.0,1839.0
500.0,1836.5
501.0,1834.6666666666667
502.0,1838.5
503.0,1837.0
504.0,1838.5
505.0,1842.0
506.0,1835.0
507.0,1841.5
508.0,1839.3333333333333
509.0,1838.5
510.0,1838.0
511.0,1840.0
512.0,1835.0
513.0,1836.5
514.0,1839.0
515.0,1836.6666666666667
516.0,1838.0
517.0,1835.0
518.0,1841.0
519.0,1840.0
520.0,1837.5
521.0,1834.0
522.0,1836.0
523.0,1836.0
524.0,1837.5
525.0,1835.0
526.0,1834.5
527.0,1837.5
528.0,1830.5
529.0,1836.5
530.0,1833.0
531.0,1831.6666666666667
532.0,1835.5
533.0,1833.0
534.0,1830.0
535.0,1835.0
536.0,1836.0
537.0,1830.5
538.0,1835.0
539.0,1833.6666666666667
540.0,1841.0
541.0,1834.0
542.0,1831.5
543.0,1833.5
544.0,1836.0
545.0,1833.0
546.0,1832.5
547.0,1835.0
548.0,1829.0
549.0,1833.5
550.0,1831.5
551.0,1836.5
552.0,1836.5
553.0,1836.0
554.0,1832.0
555.0,1832.5
556.0,1833.3333333333333
557.0,1834.5
558.0,1833.5
559.0,1835.0
560.0,1836.0
561.0,1833.0
562.0,1835.5
563.0,1833.5
564.0,1834.0
565.0,1838.5
566.0,1834.0
567.0,1837.0
568.0,1831.5
569.0,1839.0
570.0,1835.5
571.0,1831.0
572.0,1832.5
573.0,1834.6666666666667
574.0,1829.5
575.0,1838.5
576.0,1834.5
577.0,1836.5
578.0,1839.5
579.0,1835.0
580.0,1835.0
581.0,1838.0
582.0,1834.3333333333333
583.0,1837.5
584.0,1831.5
585.0,1837.5
586.0,1834.0
587.0,1835.0
588.0,1834.5
589.0,1837.0
590.0,1836.0
591.0,1832.0
592.0,1834.3333333333333
593.0,1833.5
594.0,1834.0
595.0,1838.5
596.0,1831.5
597.0,1833.0
598.0,1827.5
599.0,1836.5
600.0,1832.5
601.0,1833.0
602.0,1836.3333333333333
603.0,1830.5
604.0,1834.0
605.0,1832.5
606.0,1834.5
607.0,1830.5
608.0,1837.0
609.0,1830.5
610.0,1838.0
611.0,1829.0
612.0,1827.0
613.0,1835.0
614.0,1830.0
615.0,1830.0
616.0,1827.0
617.0,1830.0
618.0,1827.5
619.0,1833.0
620.0,1828.0
621.0,1828.5
622.0,1828.0
623.0,1829.3333333333333
624.0,1827.5
625.0,1827.0
626.0,1827.0
627.0,1829.0
628.0,1833.0
629.0,1831.5
630.0,1830.0
631.0,1822.5
632.0,1827.0
633.0,1824.5
634.0,1832.6666666666667
635.0,1828.0
636.0,1826.0
637.0,1825.0
638.0,1826.0
639.0,1820.5
640.0,1823.0
641.0,1827.5
642.0,1822.5
643.0,1824.0
644.0,1827.5
645.0,1823.0
646.0,1826.0
647.0,1820.5
648.0,1823.5
649.0,1824.0
650.0,1827.0
651.0,1821.5
652.0,1825.0
653.0,1825.5
654.0,1820.5
655.0,1816.5
656.0,1820.5
657.0,1823.5
658.0,1821.5
659.0,1822.3333333333333
660.0,1819.0
661.0,1821.5
662.0,1817.0
663.0,1823.0
664.0,1818.5
665.0,1818.5
666.0,1818.0
667.0,1822.0
668.0,1817.5
669.0,1814.5
670.0,1817.0
671.0,1817.5
672.0,1815.6666666666667
673.0,1818.0
674.0,1816.0
675.0,1813.0
676.0,1816.5
677.0,1814.5
678.0,1812.0
679.0,1815.5
680.0,1820.0
681.0,1811.5
682.0,1814.5
683.0,1818.0
684.0,1817.0
